,Unnamed: 0,author,year,title,Big_numbers,Small_numbers,big-small-ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
79,79,Birnie etal,2013,effective air purification.txt,1,5,-0.6666666666666666,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
80,80,Boncini etal,2008,Double Light Pipe.txt,0,16,-1.0,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
81,81,Bottarelli etal,2017,tile covering.txt,1,22,-0.9130434782608696,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
82,82,bottarelli etal,2020,Solar gain.txt,0,14,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
83,83,bottarelli,2012,Numerical.txt,0,25,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
84,84,bottarelli,2019,Testing of a dualsource heat pump.txt,3,18,-0.7142857142857143,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
85,85,bouaid etal,2012,Optimization.txt,0,12,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
86,86,Boukhanouf etal,2013,generation s.txt,0,2,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
87,87,Bozonnet etal,2013,urban fluxes.txt,1,13,-0.8571428571428571,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
88,88,Budania etal,2013,solar absorption.txt,1,7,-0.75,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
89,89,burhan etal,2018,Energy distribution.txt,6,12,-0.3333333333333333,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
90,90,Busato etal,2008,cogeneration modules.txt,1,26,-0.925925925925926,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
91,91,busato etal,2012,Energy and economic.txt,0,17,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
92,92,busato etal,2013,Multisource.txt,2,13,-0.7333333333333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
93,93,buyadgie etal,2015,Solar low.txt,1,5,-0.6666666666666666,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
94,94,buyagbie etal,2012,Conceptual design.txt,0,3,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
95,95,bwapwa etal,2019,Jet fuel.txt,0,1,-1.0,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
96,96,cai and yan,2018,The plannin.txt,0,10,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
97,97,Chamchine etal,2013,integrated assesment.txt,0,3,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
98,98,Chandiwala,2009,Sustainable Homes in the UK.txt,3,13,-0.625,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
99,99,chen and li,2020,A state of art meth.txt,2,33,-0.8857142857142857,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
