,author,year,title,climate_damage_ratio,climate_conflict_ratio,climate_threat_ratio,adaptation_conflict_ratio,mitigation_damage_ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
107,shattat,2012,Water.txt,0.705426357,0.97260274,0.896551724,0.555555556,-0.333333333,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
108,sabitha,2011,global.txt,-0.044585987,0.904109589,0.967741935,-0.142857143,-0.333333333,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
109,almosawi,2020,Synergistic effect of.txt,-0.225806452,0.846153846,0.916666667,-0.565217391,0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
110,chen etal,2012,Thermodynamic.txt,0.115384615,0.882352941,0.892720307,0.473684211,0.265306122,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
111,pilpola,2019,Energy.txt,0.594339623,0.463414634,0.950207469,,0.454545455,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
112,woo etal,2009,The performance.txt,-0.481481481,0.991769547,0.908396947,0.829787234,0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
113,wang,2017,Microstructure.txt,0.137614679,-0.076923077,0.619047619,0.428571429,0.151515152,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
114,redpath,2014,evacuated.txt,0.711340206,0.787234043,0.951807229,1,0.6,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
115,jian yao,2012,Effect.txt,0.779411765,0.963636364,0.892857143,1,-0.363636364,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
116,alm,2020,Quantum chemica.txt,-0.20754717,0.979381443,0.896373057,0.272727273,-0.473684211,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
117,gurler etal,2018,Experimental investigation.txt,0.608510638,0.963636364,0.913043478,0.6,0.1875,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
118,zeng,2012,Problems.txt,0.726618705,0.969230769,0.851851852,-0.25,-0.371428571,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
119,zhao,2014,Calculations.txt,-0.3,0.888372093,0.941176471,0.6,-0.217391304,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
120,cuce and riffat,2016,A comprehensive assessment of sectoral energy.txt,0.03125,0.790697674,0.771428571,0,-0.384615385,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
121,ONG,2016,Reviewofsolar.txt,0.858695652,0.885245902,0.947643979,0.6,-0.225806452,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
122,alayietal,2020,Energy.txt,0.583333333,0.80952381,0.950310559,0.818181818,-0.043478261,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
123,oyieke,2018,Interfacial.txt,0.834196891,0.981220657,0.953125,1,0.071428571,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
124,varo,2013,Design.txt,0.258064516,0.636363636,0.853403141,0.96,0.142857143,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
125,wood etal,2010,residential building.txt,0.51627907,0.91025641,0.866666667,0.733333333,0.183673469,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
126,chow,2012,The potential.txt,0.514492754,0.921875,0.960687961,0.368421053,-0.047619048,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
127,bottarelli etal,2020,Solar gain.txt,0.731343284,0.971428571,0.943396226,0.692307692,0.066666667,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
128,rao,2012,Thermodynamic.txt,0.869565217,0.984615385,0.5,0.727272727,-0.32,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
129,Zhang,2020,reconfigurable equilibrium.txt,-1,0.965517241,0.913793103,0.714285714,-0.545454545,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
130,teixeira,2010,Temperature.txt,0.30952381,0.852941176,0.831775701,0.375,0.020408163,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
131,shusheng,2020,lattice.txt,-0.743243243,0.860465116,0.878787879,0.466666667,0.25,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
132,Baljit etal,2020,performance study.txt,0.736211031,0.968503937,0.937106918,1,0.4,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
133,petra etal,2010,advanced zero emission plant.txt,-0.106796117,0.846153846,0.265306122,0.466666667,0.139318885,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
134,jradi,2014,Micro scale ORC based.txt,0.769230769,0.818181818,0.432835821,0.636363636,0.247706422,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
135,farikhah,2020, The effect.txt,0.55,-1,0.415730337,0.185185185,0.190082645,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
136,michelle,2013,A preliminary.txt,0.77443609,0.989583333,1,0.714285714,-0.529411765,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
137,Zurigat,2007,Typical.txt,0.859375,0.918367347,0.918367347,0.272727273,-0.066666667,31493.742,2.98,910.212,4.696,1244213.89,12811.338,1.91,601452.662
138,alwetaishi,2019,Sustainable ap.txt,0.291925466,0.942857143,0.90990991,1,-0.463414634,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
139,kiyota etal,2013,Analysis of greenhouse gase.txt,-0.586206897,0.75,0.566666667,0.483870968,0.076923077,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
140,madvar etal,2018,Analysis.txt,-0.28358209,0.988304094,0.907692308,0.4,0.142857143,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
141,cho etal,2014,Energy.txt,0.868131868,1,0.956521739,-1,0,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
142,mohamed,2011,Exploring.txt,-0.272727273,0.952941176,0.672727273,0.625,-0.672131148,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
143,alkhalidi,2020, Do green buildings.txt,0.528571429,0.444444444,0.034482759,0.384615385,-0.1875,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
144,paine,2018,Evaluating.txt,0.422222222,0.936507937,0.813333333,0.571428571,-0.129032258,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
145,Yolanda,2020,determining.txt,-0.142857143,0.090909091,0.75,0.333333333,0.657142857,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
146,aydin etal,2015,Numerical analysis of solar.txt,0.74301676,0.214285714,,,,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
147,Tham etal,2009,clear sky radiation data.txt,0.871794872,0.984126984,0.626373626,0.904761905,0.448979592,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
148,xiang,2015,Optimization.txt,0.823529412,0.918367347,-0.52,0.631578947,-0.303030303,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
149,tao etal,2009,congregation.txt,0.25,0,0.968660969,0.890909091,0.378378378,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
150,guohui gan,2013,Dynami.txt,0.682373473,1,-0.736842105,0.225806452,-0.407407407,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
151,rossi,2012,Ethanol.txt,0.727272727,0.6,0.955882353,0.75,0.25,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
152,liao and wang,2012,Performance based lo.txt,0.295081967,0.917808219,0.819277108,0,0.259259259,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
153,fang etal,2012,Characterization.txt,0.7,0.952,0.960526316,0.857142857,0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
